scenario,mu0,mu1,mu2,mean_avg_queue,std_avg_queue,mean_throughput,std_throughput,mean_wait_approx,runs
Baseline,65,85,75,14.053325,5.543009443529166,57.897083333333335,2.2939733627527046,0.24272941210337307,300
Improved_Till_Training,75,85,75,9.607633333333332,2.8674324508510574,59.025416666666665,2.348265262315186,0.16277112260961024,300
Full_Improvement,75,95,85,7.238239583333334,1.6561228428647046,59.009166666666665,2.6072559491099936,0.12266296903023542,300
